source_file,web_asset,original_dimensions,usage
66354.jpg,assets/images/the-beginning/living-room/living-room-wide-01.webp,1536x1152,Primary living-room wide shot
66356.jpg,assets/images/the-beginning/living-room/tv-wall-wide-01.webp,1536x1152,TV wall and colourful sea-life decor
66357.jpg,assets/images/the-beginning/living-room/sofa-work-table-01.webp,1536x1152,Sofa and work/dressing table
66352.jpg,assets/images/the-beginning/living-room/living-room-angle-02.webp,1536x1152,Living-room alternate angle
66353.jpg,assets/images/the-beginning/living-room/living-room-angle-03.webp,1536x1152,Living-room wide alternate angle
65859.jpg,assets/images/the-beginning/bedroom/bedroom-wide-01.webp,1536x1152,Primary bedroom image
65860.jpg,assets/images/the-beginning/bedroom/bedroom-wide-02.webp,1536x1152,Bedroom alternate wide angle
65864.jpg,assets/images/the-beginning/bedroom/bedroom-wardrobe-01.webp,1536x1152,Bedroom with wardrobe
65903.jpg,assets/images/the-beginning/bedroom/bedroom-work-desk-01.webp,1536x1152,Compact work desk beside bedroom window
66247.jpg,assets/images/the-beginning/kitchen/kitchen-wide-01.webp,1536x1152,Primary kitchen overview
66250.jpg,assets/images/the-beginning/kitchen/kitchen-appliances-01.webp,1152x1536,"Microwave, kettle, toaster and mixer area"
66258.jpg,assets/images/the-beginning/kitchen/kitchen-sink-drying-rack-01.webp,1152x1536,Sink and drying rack
66248.jpg,assets/images/the-beginning/kitchen/kitchen-storage-glassware-01.webp,1536x1152,Kitchen storage and glassware
66251.jpg,assets/images/the-beginning/kitchen/kitchen-crockery-01.webp,1354x1536,"Cups, plates and serving tray"
66255.jpg,assets/images/the-beginning/kitchen/kitchen-cutlery-tools-01.webp,1152x1536,Cutlery and kitchen tools
66259.jpg,assets/images/the-beginning/utility-laundry/utility-laundry-01.webp,1152x1536,Laundry balcony with washing machine
66260.jpg,assets/images/the-beginning/utility-laundry/utility-laundry-wide-02.webp,1536x1152,Laundry/utility balcony wide view
66365.jpg,assets/images/the-beginning/bathroom/bathroom-01.webp,1152x1536,Bathroom overview
66382.jpg,assets/images/the-beginning/practical/entrance-door-01.webp,1152x1536,Apartment entrance
66401.jpg,assets/images/the-beginning/practical/parking-01.webp,1536x1152,Parking area
66568.jpg,assets/images/goa-around-us/goa-beach-01.webp,1152x1536,"Goa beach; destination image, not apartment view"
71472.png,assets/images/rio-de-goa/rio-gym-01.webp,1536x864,Guest-accessible gym
71471.png,assets/images/rio-de-goa/rio-landscaped-garden-01.webp,1536x864,Palm-filled landscaped garden
71470.png,assets/images/rio-de-goa/rio-colourful-buildings-courtyard-01.webp,1536x691,Colourful Rio De Goa buildings and central courtyard
71469.png,assets/images/rio-de-goa/rio-terrace-seating-01.webp,1536x1025,Guest-accessible terrace seating area
71468.png,assets/images/rio-de-goa/rio-central-courtyard-01.webp,1536x691,Central landscaped courtyard / clubhouse area
71473.png,assets/images/rio-de-goa/rio-common-lounge-01.webp,1536x710,Indoor common/lounge area; use only if guest access is confirmed
1789553446687.jpeg,assets/images/rio-de-goa/rio-terrace-water-view-01.webp,1536x1020,Terrace/open viewing area with water/Zuari-side outlook
